departement,lat,lon
Tibati,6.470326,12.618750599999998
Tignére,7.3730873,12.65320040000006
Banyo,6.7496639,11.803659599999946
Meiganga,6.516396599999999,14.291927299999998
Ngaoundéré,7.338148800000001,13.566830200000027
Nanga-Eboko,4.6740235,12.375026599999956
Monatele,4.275392399999999,11.266549800000007
Bafia,4.7546039,11.224044100000015
Ntui,0,0
Mfou,3.965673899999999,11.930527799999936
Ngoumou,3.5939245,11.306238200000053
Yaoundé,3.8480325,11.502075200000036
Eséka,3.6426789,10.783082599999943
Akonolinga,3.7827632,12.249069700000064
Mbalmayo,3.5144204,11.50775729999998
Yokadouma,3.5321338,15.049896600000011
Abong-Mbang,3.9776306,13.179802399999971
Batouri,4.4354347,14.361734299999966
Bertoua,4.5791946,13.676795800000036
Maroua,10.5925289,14.321009499999946
Kousséri,12.087083,15.0148322
Yagoua,10.347021,15.237033900000029
Kaélé,10.1111834,14.443217900000036
Mora,11.0465171,14.14079479999998
Nkongsamba,4.9741169,9.9353318
Yabassi,4.4963453,9.97165849999999
Edéa,3.7953482,10.1367166
Douala,4.0510564,9.767868700000008
Garoua,9.322601599999999,13.39338900000007
Poli,8.473424999999999,13.240377899999999
Guider,9.9256779,13.943403499999931
Tcholliré,8.3976116,14.172751800000015
Fundong,6.2820276,10.285253199999943
Kumbo,6.2244851,10.675977200000034
Nkambé,6.5832226,10.695697900000027
Wum,6.3884374,10.075133100000016
Bamenda,5.9630513,10.159121300000038
Mbengwi,6.012579199999999,10.01918569999998
Ndop,5.994148399999999,10.445275600000059
Mbouda,5.623505,10.254404399999999
Bafang,5.1601362,10.187135099999978
Baham,5.3359249,10.393010000000004
Bandjoun,5.3673999,10.417181000000028
Dschang,5.4459387,10.04715490000001
Bafoussam,5.4815596,10.42713470000001
Bangangté,5.1443561,10.523986700000023
Foumban,5.7204203,10.90160400000002
Sangmélima,2.9372148,11.986169399999994
Ebolowa,2.9262958,11.156073200000037
Kribi,2.9405941,9.910191499999996
Ambam,2.3815417,11.266549800000007
Limbé,4.022465599999999,9.1954432
Adamaoua,6.9181954,12.805475300000012
Centre,4.6298411,11.70682940000006
Extreme Nord,10.6315589,14.658782100000053
Nord,8.580901299999999,13.914399000000003
Sud,2.7202832,11.70682940000006
Ouest,5.4638158,10.800005100000021
Nord-Ouest,6.470373899999999,10.439656000000014
Sud-Ouest,5.1573493,9.367308399999956
Est,7.369721999999999,12.354722000000038
Littoral,4.1682138,10.080729799999972
Djérem,6.4207128,12.62162109999997
Faro-et-Déo,7.439948299999999,12.254791899999987
Mayo-Banyo,6.816667000000001,11.950000000000045
Mbéré,6.3818031,14.100132600000052
Vina,7.0598376,13.728916700000013
Haute-Sanaga,4.7758604,12.62162109999997
Lekié,4.0692678,11.433914800000025
Mbam-et-Inoubou,4.724355699999999,10.890309900000034
Mbam-et-Kim,5.4431417,11.889172099999996
Méfou-et-Afamba,3.9038615,11.797961299999997
Méfou-et-Akono,3.5506546,11.388500099999987
Mfoundi,3.7681771,11.502075200000036
Nyong-et-Kellé,3.7561406,10.890309900000034
Nyong-et-Mfoumou,3.895902299999999,12.346387499999992
Nyong-et-So'o,3.4288306,11.61577729999999
Boumba-et-Ngoko,2.6782994,15.40680789999999
Haut-Nyong,3.3194374,13.914399000000003
Kadey,4.0994706,14.472330100000022
Lom-et-Djérem,5.2365685,13.914399000000003
Diamaré,10.8995353,14.565527299999985
Logone-et-Chari,11.8575027,14.845461900000032
Mayo-Danay,10.3468971,15.12589550000007
Mayo-Kani,10.3731732,14.565527299999985
Mayo-Sava,11.0936823,14.193091800000047
Mayo-Tsanaga,10.4065487,13.821626100000003
Moungo,4.2547846,9.634135000000015
Nkam,4.5723604,10.170325700000035
Sanaga-Maritime,3.8461466,10.080729799999972
Wouri,4.280679999999999,9.82898709999995
Bénoué,9.104225699999999,13.728916700000013
Faro,7.439948299999999,12.254791899999987
Mayo-Louti,9.9272698,13.775263399999972
Mayo-Rey,7.8724736,14.658782100000053
Boyo,6.3453517,10.394711599999937
Bui,6.2542437,10.754885100000024
Donga-Mantung,6.544851899999999,10.890309900000034
Menchum,6.560024599999999,10.170325700000035
Mezam,6.0959616,10.30488969999999
Momo,5.893161099999999,9.991225399999962
Ngo-Ketunjia,6.0072868,10.574622399999953
Bamboutos,5.6812283,10.215157800000043
Haut-Nkam,5.1045966,10.125516400000038
Hauts-Plateaux,5.2864698,10.327336800000012
Koung-Khi,5.2842017,10.462136600000008
